[I 240930 11:08:19 webSocket:62] on open
[I 240930 11:08:41 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6627807, 'exchange_timestamp': 1727674708000, 'last_traded_price': 5331860, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:41 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 6627942, 'exchange_timestamp': 1727674708000, 'last_traded_price': 2594745, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:42 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6628241, 'exchange_timestamp': 1727674708000, 'last_traded_price': 5331730, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:42 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 6628330, 'exchange_timestamp': 1727674709000, 'last_traded_price': 2594755, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:42 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6628565, 'exchange_timestamp': 1727674709000, 'last_traded_price': 5332045, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:42 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 6628680, 'exchange_timestamp': 1727674709000, 'last_traded_price': 2594680, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:43 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6628956, 'exchange_timestamp': 1727674709000, 'last_traded_price': 5331605, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:43 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 6629050, 'exchange_timestamp': 1727674710000, 'last_traded_price': 2594715, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:43 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6629305, 'exchange_timestamp': 1727674710000, 'last_traded_price': 5331605, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:43 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 6629435, 'exchange_timestamp': 1727674710000, 'last_traded_price': 2594655, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:44 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6629732, 'exchange_timestamp': 1727674710000, 'last_traded_price': 5331510, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:44 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 6629826, 'exchange_timestamp': 1727674711000, 'last_traded_price': 2594685, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:44 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6630062, 'exchange_timestamp': 1727674711000, 'last_traded_price': 5331335, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:44 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 6630187, 'exchange_timestamp': 1727674711000, 'last_traded_price': 2594655, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:45 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6630476, 'exchange_timestamp': 1727674711000, 'last_traded_price': 5331365, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:45 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 6630566, 'exchange_timestamp': 1727674712000, 'last_traded_price': 2594635, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:45 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6630776, 'exchange_timestamp': 1727674712000, 'last_traded_price': 5331430, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:45 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 6630910, 'exchange_timestamp': 1727674712000, 'last_traded_price': 2594675, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:46 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6631194, 'exchange_timestamp': 1727674712000, 'last_traded_price': 5331375, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:46 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 6631278, 'exchange_timestamp': 1727674713000, 'last_traded_price': 2594625, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:46 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6631508, 'exchange_timestamp': 1727674713000, 'last_traded_price': 5331590, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:46 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 6631635, 'exchange_timestamp': 1727674713000, 'last_traded_price': 2594685, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:47 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6631958, 'exchange_timestamp': 1727674713000, 'last_traded_price': 5331800, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:47 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 6632060, 'exchange_timestamp': 1727674714000, 'last_traded_price': 2594645, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:47 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6632289, 'exchange_timestamp': 1727674714000, 'last_traded_price': 5331555, 'subscription_mode_val': 'LTP'}
