[I 241003 09:20:37 webSocket:62] WebSocket connection opened
[I 241003 09:24:26 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1302718, 'exchange_timestamp': 1727927653000, 'last_traded_price': 5244280, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:26 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1302731, 'exchange_timestamp': 1727927653000, 'last_traded_price': 5244280, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:26 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1302734, 'exchange_timestamp': 1727927653000, 'last_traded_price': 5244280, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:26 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1302754, 'exchange_timestamp': 1727927653000, 'last_traded_price': 5244280, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:26 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1302756, 'exchange_timestamp': 1727927653000, 'last_traded_price': 5244280, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:26 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1302757, 'exchange_timestamp': 1727927653000, 'last_traded_price': 5244280, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:26 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1302862, 'exchange_timestamp': 1727927653000, 'last_traded_price': 5244280, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:26 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1302873, 'exchange_timestamp': 1727927653000, 'last_traded_price': 5244280, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:26 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1302874, 'exchange_timestamp': 1727927653000, 'last_traded_price': 5244280, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:26 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1302892, 'exchange_timestamp': 1727927653000, 'last_traded_price': 5244280, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:26 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1302920, 'exchange_timestamp': 1727927653000, 'last_traded_price': 5244280, 'subscription_mode_val': 'LTP'}
